Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,MP
Will Bynum,3.6,0.8,1.3,0.5,0,0.404,0.222,0.625,-0.021,10.8
Žarko Čabarkapa,3.3,1.8,0.3,0.2,0.1,0.385,0.25,0.714,0.031,8.3
José Calderón,5.5,2.2,4.5,0.7,0.1,0.423,0.163,0.848,0.029,23.2
Marcus Camby,12.8,11.9,2.1,1.4,3.3,0.465,0.091,0.712,0.141,33.2
Brian Cardinal,3.4,1.5,0.9,0.6,0,0.414,0.448,0.704,0.074,11.2
Matt Carroll,7.6,2,0.4,0.6,0.1,0.403,0.389,0.821,0.097,16.3
Anthony Carter,3.3,1.4,2.2,0.5,0.2,0.387,0.267,0.727,0.047,13.1
Vince Carter,24.2,5.8,4.3,1.2,0.7,0.43,0.341,0.799,0.153,36.8
Sam Cassell,17.2,3.7,6.3,0.9,0.1,0.443,0.368,0.863,0.137,34
Kelvin Cato,3.6,2.6,0.1,0.2,0.4,0.429,,0.743,0.045,12.3
Tyson Chandler,5.3,9,1,0.5,1.3,0.565,0,0.503,0.123,26.8
Calbert Cheaney,2.2,1.5,0.5,0.3,0,0.389,0,1,0,10.7
Josh Childress,10,5.2,1.8,1.2,0.5,0.552,0.492,0.766,0.121,30.4
Doug Christie,3.7,1.9,2,1.3,0.1,0.346,0,0.667,0.035,26.4
Speedy Claxton,12.3,2.7,4.8,1.5,0.1,0.413,0.27,0.769,0.072,28.4
Mateen Cleaves,2.7,0.5,1.6,0.1,0.1,0.352,0.25,0.792,-0.005,8.5
Jarron Collins,5.3,4.2,1.2,0.5,0.3,0.461,,0.717,0.107,21.9
Jason Collins,3.6,4.8,1,0.6,0.6,0.397,0.25,0.512,0.051,26.7
Nick Collison,7.5,5.6,1.1,0.3,0.5,0.525,0,0.699,0.075,21.9
Brian Cook,7.9,3.4,0.9,0.5,0.4,0.511,0.429,0.832,0.142,19
Jamal Crawford,14.3,3.1,3.8,1.1,0.2,0.416,0.345,0.826,0.084,32.3
Austin Croshere,8.2,5.3,1.2,0.4,0.1,0.463,0.386,0.882,0.173,23
Eddy Curry,13.6,6,0.3,0.4,0.8,0.563,,0.632,0.084,25.9
Samuel Dalembert,7.3,8.2,0.4,0.5,2.4,0.531,0,0.705,0.097,26.7
Erick Dampier,5.7,7.8,0.6,0.3,1.3,0.493,,0.591,0.119,23.6
Antonio Daniels,9.6,2.2,3.6,0.7,0.1,0.418,0.228,0.845,0.111,28.5
Marquis Daniels,10.2,3.6,2.8,1.1,0.2,0.48,0.211,0.754,0.114,28.5
Antonio Davis,4.9,4.7,0.5,0.5,0.2,0.432,0,0.642,0.017,21.4
Baron Davis,17.9,4.4,8.9,1.6,0.3,0.389,0.315,0.675,0.106,36.5
Dale Davis,0.9,1.9,0.2,0,0.3,0.375,0,0.533,0.108,6.4
Josh Davis,1,0.7,0.2,0.3,0,0.286,0,0.667,0.018,2.8
Ricky Davis,19.4,4.5,5.1,1.2,0.2,0.448,0.302,0.797,0.075,41.1
Carlos Delfino,3.6,1.7,0.6,0.3,0.2,0.403,0.333,0.672,0.067,10.7
Tony Delk,7.6,2.2,1.4,0.5,0,0.441,0.426,0.741,0.112,16
Luol Deng,14.3,6.6,1.9,0.9,0.6,0.463,0.269,0.75,0.12,33.4
Boris Diaw,13.3,6.9,6.2,0.7,1,0.526,0.267,0.731,0.149,35.5
Dan Dickau,3.3,0.8,2.1,0.6,0.1,0.37,0.5,1,0.09,12.3
Travis Diener,3.8,0.9,0.7,0.3,0,0.42,0.439,0.833,0.115,10.7
Ike Diogu,7,3.3,0.4,0.2,0.4,0.524,,0.81,0.123,14.9
DeSagana Diop,2.3,4.6,0.3,0.5,1.8,0.487,0.5,0.542,0.13,18.6
Juan Dixon,12.3,2.3,2,0.8,0.1,0.435,0.382,0.804,0.03,25.3
Michael Doleac,3.2,2.7,0.3,0.3,0.2,0.42,,0.8,0.079,12
Keyon Dooling,9.4,1.6,2.2,1,0.1,0.44,0.302,0.835,0.046,22.7
Chris Duhon,8.7,3,5,0.9,0,0.4,0.36,0.818,0.116,29.1
Tim Duncan,18.6,11,3.2,0.9,2,0.484,0.4,0.629,0.187,34.8
Mike Dunleavy,11.5,4.9,2.9,0.7,0.4,0.406,0.285,0.778,0.077,31.8
Ronald Dupree,2.2,1.4,0.4,0.3,0,0.524,0,0.341,0.056,7.4
John Edwards,1.8,1.2,0.1,0.1,0.4,0.484,,0.727,0.026,7.4
Howard Eisley,3.2,1,2.2,0.3,0.1,0.33,0.31,0.833,0.037,12.3
Monta Ellis,6.8,2.1,1.6,0.7,0.2,0.415,0.341,0.712,0.028,18.1
Francisco Elson,4.9,4.7,0.7,0.8,0.6,0.532,0.2,0.662,0.087,21.9
Melvin Ely,9.8,4.9,1.3,0.5,0.8,0.508,0,0.667,0.072,23.6
Maurice Evans,5,2,0.8,0.5,0.2,0.452,0.371,0.8,0.135,14.2
Reggie Evans,5.6,7.5,0.6,0.6,0.1,0.489,0,0.53,0.072,20.8
Daniel Ewing,3.8,1.3,1.3,0.6,0.1,0.38,0.282,0.783,0.017,14.7
Noel Felix,1.5,1.1,0.2,0.2,0.3,0.24,0.333,0.625,-0.197,6.8
Raymond Felton,11.9,3.3,5.6,1.3,0.1,0.391,0.358,0.725,0.051,30.1
Michael Finley,10.1,3.2,1.5,0.5,0.1,0.412,0.394,0.852,0.117,26.5
Derek Fisher,13.3,2.6,4.3,1.5,0.1,0.41,0.397,0.833,0.107,31.6
Gerald Fitch,4.7,1.7,1.8,0.4,0.3,0.337,0.269,0.739,0.026,13.3
Marcus Fizer,6.7,2.3,0.3,0,0,0.529,1,0.5,0.056,13
Sharrod Ford,1.3,1,0,0,0.3,0.667,,,-0.032,4.3
T.J. Ford,12.2,4.3,6.6,1.4,0.1,0.416,0.337,0.754,0.047,35.5
Danny Fortson,3.8,3.4,0.1,0.2,0.1,0.529,,0.767,0.038,12
Jeff Foster,5.9,9.1,0.8,0.7,0.4,0.552,0,0.604,0.174,25.1
Adonal Foyle,4.5,5.5,0.4,0.6,1.6,0.507,,0.612,0.075,23.7
Richie Frahm,3.3,1,0.6,0.1,0.1,0.39,0.329,0.7,0.071,10.4
Steve Francis,14.4,4.1,4.9,1.1,0.2,0.435,0.301,0.787,0.073,34.2
Channing Frye,12.3,5.8,0.8,0.5,0.7,0.477,0.333,0.825,0.108,24.2
Dan Gadzuric,5.2,3.1,0.3,0.3,0.6,0.553,0,0.461,0.134,12
Deng Gai,0,0,0,0,0,,,,-0.015,2.5
